# Coffee Shop Orders - CSV Format: timestamp,customerId,itemId
# Timestamp format: yyyy-MM-dd HH:mm:ss
# Customer ID format: CUST-XXX (e.g. CUST-001)
# -------------------------------------------------------
2025-01-15 09:00:00,CUST-001,BEV-001
2025-01-15 09:05:00,CUST-001,FOO-001
2025-01-15 09:07:00,CUST-002,BEV-003
2025-01-15 09:10:00,CUST-003,BEV-004
2025-01-15 09:10:00,CUST-003,FOO-004
2025-01-15 09:10:00,CUST-003,FOO-005
2025-01-15 09:12:00,CUST-004,FOO-007
2025-01-15 09:15:00,CUST-005,BEV-002
2025-01-15 09:15:00,CUST-005,FOO-010
2025-01-15 09:18:00,CUST-006,BEV-007
2025-01-15 09:22:00,CUST-007,BEV-005
2025-01-15 09:22:00,CUST-007,BEV-006
2025-01-15 09:25:00,CUST-008,FOO-002
2025-01-15 09:25:00,CUST-008,FOO-003
2025-01-15 09:25:00,CUST-008,BEV-008
2025-01-15 09:30:00,CUST-009,BEV-001
2025-01-15 09:30:00,CUST-009,FOO-006
2025-01-15 09:30:00,CUST-009,FOO-009
2025-01-15 09:35:00,CUST-010,OTH-001
2025-01-15 09:40:00,CUST-011,BEV-009
2025-01-15 09:45:00,CUST-012,BEV-003
2025-01-15 09:45:00,CUST-012,FOO-008
2025-01-15 10:00:00,CUST-013,BEV-010
# --- Lines below are intentional errors for testing ---
BADDATE 09:00:00,CUST-099,BEV-001
2025-01-15 10:05:00,CUST999,BEV-001
2025-01-15 10:06:00,CUST-020,BEV-999
2025-01-15 10:07:00,CUST-021,FOO-999
INVALID LINE WITH NO COMMAS
2025-01-15 10:08:00
