orderId,customerId,itemId,timestamp
ORD-001,CUST-001,COF-001,2025-01-15 09:00:00
ORD-001,CUST-001,FOO-001,2025-01-15 09:00:00
ORD-001,CUST-001,FOO-002,2025-01-15 09:00:00
ORD-002,CUST-002,COF-002,2025-01-15 09:05:00
ORD-002,CUST-002,FOO-004,2025-01-15 09:05:00
ORD-003,CUST-003,COF-003,2025-01-15 09:10:00
ORD-004,CUST-004,FOO-005,2025-01-15 09:12:00
ORD-004,CUST-004,FOO-006,2025-01-15 09:12:00
ORD-005,CUST-005,COF-004,2025-01-15 09:15:00
ORD-005,CUST-005,COF-005,2025-01-15 09:15:00
ORD-005,CUST-005,FOO-007,2025-01-15 09:15:00
ORD-005,CUST-005,FOO-008,2025-01-15 09:15:00
ORD-006,CUST-006,TEA-001,2025-01-15 09:20:00
ORD-006,CUST-006,FOO-003,2025-01-15 09:20:00
ORD-006,CUST-006,FOO-009,2025-01-15 09:20:00
ORD-007,CUST-007,OTH-001,2025-01-15 09:30:00
ORD-008,CUST-008,JUI-001,2025-01-15 09:35:00
ORD-009,CUST-009,COF-001,2025-01-15 09:40:00
ORD-009,CUST-009,FOO-010,2025-01-15 09:40:00
ORD-009,CUST-009,FOO-002,2025-01-15 09:40:00
